,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
63,0.165,0.695,0.242,0.203,0.342,0.0684,0.288,0.219,0.749,0.861,0.0207,0.7,0.605,0.414,0.289,0.493,0.0343,0.459,0.181,0.0143,5.10E-12,8.85E-06,3.66E-11,2.91E-11,0.000115721,3.68E-11,6.37E-06,1.45E-10,2.71E-12,5.39E-08,6.13E-10,1.68E-13,5.69E-11,2.19E-11,1.63E-09,1.00E-10,6.19E-09,2.99E-13,1.01E-12,0,3
64,0.107,0.882,0.944,0.878,0.496,0.122,0.718,0.524,0.621,0.1,0.54,0.54,0.665,0.43,0.839,0.0156,0.365,0.34,0.97,0.539,4.26E-14,1.82E-07,1.65E-12,1.78E-13,4.54E-07,2.72E-13,5.47E-08,9.59E-13,3.06E-14,2.24E-10,3.82E-13,8.61E-16,1.88E-13,1.60E-13,2.07E-11,1.28E-12,8.38E-12,1.12E-15,1.07E-14,0,2
65,0.761,0.701,0.125,0.0659,0.769,0.67,0.533,0.656,0.788,0.675,0.617,0.85,0.000147,0.386,0.742,0.467,0.297,0.00618,0.826,0.274,5.30E-13,7.21E-07,2.08E-12,1.40E-12,1.02E-05,2.18E-12,3.27E-07,1.03E-11,3.11E-13,2.79E-09,9.13E-12,1.05E-14,2.87E-12,1.24E-12,8.83E-10,5.50E-11,8.12E-11,1.91E-15,2.50E-13,5.04E-13,0
66,0.114,0.181,9.71E-05,0.744,0.25,0.266,0.158,0.634,0.0277,0.76,0.183,0.901,0.524,0.359,0.178,0.662,0.397,0.224,0.64,0.933,5.29E-14,6.73E-10,2.64E-13,5.39E-15,2.65E-07,4.70E-14,1.19E-09,1.31E-14,1.30E-15,2.49E-11,3.30E-13,3.14E-16,6.05E-14,1.05E-12,3.72E-11,2.36E-12,2.95E-13,0,7.21E-15,7.90E-14,3
67,0.393,0.511,0.597,0.192,0.456,0.566,0.726,0.661,0.257,0.689,0.227,0.666,0.814,0.0224,0.376,0.831,0.133,0.727,0.204,0.576,4.85E-15,2.34E-09,3.36E-14,2.06E-14,1.29E-06,3.45E-14,3.64E-09,3.20E-13,1.68E-15,9.16E-11,5.85E-13,4.42E-16,1.49E-14,3.11E-14,6.10E-11,3.83E-12,8.38E-13,0,5.10E-14,0,3
68,0.0271,0.0546,0.336,0.476,0.0694,0.872,0.846,0.237,0.888,0.395,0.835,0.242,0.452,0.376,0.223,0.414,0.712,0.374,0.0439,0.253,2.61E-15,6.26E-11,9.21E-16,5.16E-14,3.78E-08,1.35E-15,1.34E-10,3.13E-15,1.99E-16,2.17E-12,6.00E-12,1.51E-15,8.58E-16,9.34E-16,5.41E-12,3.36E-13,2.24E-14,0,2.78E-16,3.39E-14,0
69,0.195,0.66,0.417,0.309,0.691,0.347,0.441,0.479,0.756,0.482,0.79,0.449,0.358,0.522,0.18,0.619,0.288,0.814,0.94,0.251,6.93E-14,8.09E-10,1.57E-15,2.64E-09,7.34E-08,2.76E-15,2.06E-09,6.86E-15,2.59E-15,4.31E-12,7.17E-12,4.57E-13,3.28E-14,2.32E-15,1.05E-11,6.54E-13,2.00E-13,0,1.28E-15,1.73E-15,0
70,0.46,0.00895,0.755,0.0483,0.366,0.291,0.604,0.777,0.743,0.821,0.504,0.837,0.533,0.31,0.204,0.525,0.508,0.872,0.0904,0.829,2.51E-14,5.75E-10,4.98E-15,6.01E-12,2.17E-07,7.94E-15,1.28E-09,8.47E-14,9.62E-16,1.20E-11,6.40E-11,1.68E-16,4.40E-15,7.96E-15,3.27E-11,2.03E-12,2.74E-13,0,1.02E-15,1.02E-14,1
71,0.7,0.368,0.946,0.73,0.398,0.321,0.382,0.5,0.134,0.0275,0.0973,0.274,0.212,0.285,0.465,0.497,0.971,0.279,0.117,0.504,1.44E-14,3.29E-10,2.91E-15,3.19E-11,5.22E-09,1.77E-15,8.52E-10,9.38E-14,5.47E-15,4.44E-13,2.45E-10,3.16E-16,2.90E-15,2.39E-14,1.25E-11,7.68E-13,6.16E-13,0,1.24E-15,1.66E-15,2
72,0.34,0.551,0.641,0.839,0.379,0.161,0.295,0.845,0.276,0.055,0.764,0.523,0.156,0.421,0.862,0.26,0.219,0.493,0.000102,0.526,6.51E-11,1.57E-07,4.49E-11,6.44E-09,6.85E-07,1.93E-12,4.08E-07,1.46E-09,7.45E-12,1.71E-10,4.44E-06,2.01E-13,2.30E-12,3.93E-10,2.97E-09,1.75E-10,5.90E-10,0,0,0,0
73,0.766,0.753,0.549,0.878,0.559,0.889,0.691,0.619,0.572,0.931,0.657,0.794,0.899,0.359,0.798,0.373,0.921,0.554,0.506,0.313,8.22E-11,9.48E-08,3.46E-12,1.55E-08,2.26E-06,1.32E-11,2.32E-07,4.00E-11,9.45E-12,3.60E-10,1.03E-07,2.07E-12,2.39E-12,9.12E-12,1.11E-07,6.88E-09,1.62E-09,0,1.09E-11,3.98E-13,2
74,0.531,0.378,0.473,0.164,0.153,0.126,0.196,0.524,0.161,0.167,0.371,0.664,0.204,0.217,0.91,0.448,0.611,0.129,0.963,0.508,5.68E-12,6.33E-10,1.44E-13,1.37E-10,1.04E-07,6.24E-13,9.13E-10,1.05E-12,5.02E-13,1.24E-11,5.77E-10,1.39E-13,6.60E-14,2.04E-13,5.33E-09,3.26E-10,5.14E-11,0,5.46E-13,2.59E-14,3
75,0.641,0.000175,0.764,0.228,0.218,0.616,0.409,0.68,0.682,0.763,0.0203,0.948,0.546,0.286,0.827,0.84,0.944,0.877,0.629,0.388,2.01E-11,2.78E-09,4.70E-13,9.09E-10,4.71E-07,2.81E-12,4.35E-09,1.69E-12,2.04E-12,5.87E-11,1.63E-09,5.43E-13,2.70E-13,1.89E-13,2.57E-08,1.56E-09,2.24E-10,0,3.16E-12,2.16E-13,3
76,0.000258,0.972,0.958,0.547,0.458,0.422,0.965,0.239,0.0925,0.646,0.884,0.0985,0.225,0.0687,0.508,0.667,0.427,0.75,0.129,0.0362,1.43E-14,7.94E-12,4.09E-15,1.47E-12,3.34E-10,2.30E-15,1.89E-11,6.95E-14,3.37E-12,6.82E-14,9.87E-12,4.26E-16,2.69E-16,6.67E-13,1.58E-10,1.72E-12,1.98E-13,0,2.58E-14,1.80E-15,0
77,0.501,0.000216,0.646,0.179,0.642,0.000115,0.832,0.0676,0.605,0.496,0.754,0.868,0.537,0.285,0.455,0.683,0.468,0.965,0.372,0.946,1.33E-11,2.76E-09,8.81E-11,1.17E-11,7.15E-06,4.16E-11,2.52E-09,1.36E-09,4.00E-09,8.12E-10,2.57E-06,2.01E-12,2.17E-14,1.39E-10,3.62E-07,1.92E-05,1.11E-11,0,1.27E-11,3.61E-10,0
78,0.00497,0.596,0.676,0.135,0.159,0.498,0.0472,0.0869,0.198,0.813,0.0563,0.192,0.628,0.956,0.442,0.421,0.616,0.586,0.142,0.1,1.22E-14,1.70E-11,7.18E-14,7.20E-14,4.39E-08,2.55E-13,1.54E-11,7.32E-13,2.13E-12,2.56E-12,1.37E-09,8.43E-15,1.56E-16,7.72E-14,2.82E-09,1.02E-08,7.71E-14,0,5.91E-14,1.95E-13,3
79,0.519,0.42,0.132,0.581,0.783,0.583,0.579,0.457,0.744,0.277,0.899,0.741,0.528,0.286,0.028,0.466,0.121,0.471,0.506,0.0342,1.81E-12,9.06E-10,5.29E-11,3.91E-12,2.08E-06,1.23E-11,7.81E-10,3.27E-11,9.30E-11,1.21E-10,5.97E-08,1.17E-12,2.04E-14,4.43E-11,1.09E-07,4.44E-07,5.24E-12,0,1.37E-11,8.10E-12,0
80,0.266,0.205,0.469,0.615,0.94,0.794,0.747,0.841,0.625,0.347,0.0658,0.174,0.223,0.151,0.141,0.584,0.677,0.167,0.0502,0.106,2.19E-12,1.61E-10,6.08E-13,1.23E-13,2.05E-08,2.83E-13,8.63E-11,1.83E-12,1.55E-12,2.29E-12,5.64E-10,1.58E-12,1.99E-14,8.05E-13,1.16E-09,4.01E-09,2.99E-12,0,1.72E-11,5.34E-14,2
81,0.00029,0.369,0.397,0.655,0.36,0.354,0.396,0.594,0.182,0.967,0.0457,0.35,0.218,0.648,0.385,0.88,0.87,0.459,0.434,0.66,1.84E-12,6.43E-11,9.09E-14,3.07E-13,8.83E-08,6.06E-13,4.81E-11,7.60E-13,1.55E-12,9.65E-12,6.39E-11,7.90E-13,4.41E-14,2.45E-14,4.33E-09,3.27E-10,3.89E-11,0,5.84E-13,2.08E-14,3
82,0.634,0.424,0.28,0.865,0.118,0.526,0.0393,0.794,0.526,0.0242,0.678,0.0884,0.314,0.428,0.412,0.925,0.816,0.116,0.453,0.807,3.75E-12,2.20E-11,4.43E-14,1.48E-13,7.44E-10,2.42E-14,1.33E-11,9.40E-13,8.51E-13,3.63E-12,1.83E-11,1.64E-13,2.83E-14,4.37E-14,2.18E-10,3.98E-11,2.43E-11,0,1.97E-12,8.76E-15,0
83,0.589,0.755,0.734,0.585,0.362,0.74,0.235,0.706,0.0985,0.354,0.857,0.666,0.0607,0.407,0.515,0.365,0.704,0.702,0.412,0.539,1.90E-10,1.53E-10,1.96E-13,7.90E-13,3.95E-09,2.51E-13,9.90E-11,4.16E-12,5.20E-12,1.98E-11,8.84E-11,1.90E-12,1.43E-13,8.66E-13,1.19E-09,5.90E-10,1.25E-10,0,1.48E-10,1.89E-13,1
84,0.498,0.567,0.138,0.000365,0.0414,0.806,0,0.886,0.78,0.115,0.96,0.812,0.402,0.843,0.762,0.416,0.574,0.465,0.921,0.93,1.84E-14,2.47E-14,4.51E-17,3.64E-16,1.32E-12,4.00E-17,2.93E-14,1.77E-15,1.23E-15,6.58E-15,1.86E-13,3.36E-16,2.15E-17,3.77E-16,3.02E-13,4.55E-13,1.88E-14,0,7.76E-14,1.86E-16,1
85,0.199,0.946,0.242,0.0252,0.482,0.738,0.164,0.741,0.386,0.289,0.814,0.434,0.0199,0.142,0.29,0.166,0.859,0.824,0.833,0.376,1.00E-12,6.82E-13,9.84E-16,2.44E-15,9.51E-11,9.15E-13,7.11E-13,7.15E-13,9.58E-14,7.21E-13,1.51E-13,5.86E-14,1.91E-16,1.08E-14,6.19E-12,1.51E-11,1.76E-13,0,2.57E-12,4.92E-15,1
86,0.568,0.0416,0.798,0.676,0.359,0.075,0.235,0.833,0.398,0.0769,0.276,0.638,0.264,0.169,0.17,0.521,0.637,0.36,0.635,0.274,1.07E-14,3.41E-13,3.94E-16,5.44E-17,5.77E-10,9.54E-17,3.24E-13,7.90E-14,7.63E-13,1.22E-13,4.36E-13,3.25E-16,0,1.55E-13,4.05E-13,3.36E-11,6.55E-15,0,2.69E-12,1.03E-14,2
87,0.186,0.845,0.716,0.501,0.733,0.00745,0.18,0.91,0.41,0.0193,0.326,0.419,0.134,0.868,0.93,0.629,0.46,0.683,0.135,0.365,2.40E-14,1.00E-11,1.61E-13,2.15E-15,1.55E-10,2.31E-15,4.34E-12,4.35E-14,4.81E-15,4.11E-13,6.07E-12,1.52E-13,7.08E-17,8.95E-15,2.82E-13,1.04E-12,2.64E-15,0,1.54E-13,1.94E-15,3
88,0.0719,0.17,0.661,0.744,0.459,0.0876,0.95,0.825,0.0842,0.855,0.465,0.961,0.549,0.145,0.638,0.264,0.43,0.949,0.258,0.842,2.16E-16,5.00E-14,4.04E-16,1.79E-15,2.14E-11,7.37E-18,1.19E-13,3.18E-15,3.61E-16,1.56E-13,4.98E-12,5.35E-18,6.84E-18,2.42E-15,5.78E-14,2.42E-14,6.04E-16,0,6.05E-15,5.62E-18,3
89,0.002,0.86,0.347,0.452,0.148,0.751,0.0665,0.467,0.729,0.801,0.846,0.404,0.162,0.464,0.16,0.733,0.431,0.873,0.379,0.0828,4.94E-14,2.87E-12,2.28E-16,4.37E-16,2.37E-10,1.21E-17,3.29E-12,1.21E-12,1.48E-15,2.20E-12,2.95E-15,2.31E-17,7.59E-17,6.49E-16,2.18E-13,5.80E-13,1.45E-15,0,9.78E-14,1.77E-16,1
90,0.701,0.95,0.579,0.139,0.742,0.354,0.13,0.425,0.692,0.17,0.913,0.648,0.537,0.58,0.653,0.507,0.405,0.507,0.218,0.046,3.84E-15,1.70E-11,4.54E-16,2.67E-17,5.61E-11,2.77E-17,1.46E-11,1.27E-11,3.24E-14,4.75E-12,6.89E-15,3.08E-15,5.80E-17,1.13E-15,1.28E-12,3.10E-13,2.02E-14,0,4.49E-13,0,0
91,0.269,0.609,0.511,0.0696,0.54,0.444,0.497,0.108,0.697,0.794,0.407,0.431,0.5,7.66E-05,0.345,0.472,0.779,0.0201,0.44,0.449,7.77E-12,1.64E-09,9.86E-14,8.52E-15,3.22E-11,4.36E-13,1.36E-09,1.16E-09,6.94E-12,3.88E-10,3.81E-13,1.06E-12,1.23E-15,5.57E-14,1.29E-10,4.85E-11,1.22E-13,0,1.53E-10,1.18E-13,3
92,0.433,0.5,0.735,0.385,0.923,5.81E-05,0.628,0.608,0.749,0.184,0.0561,0.928,0.32,0.447,0.0986,0.393,0.508,0.0231,0.0821,0.386,4.26E-12,1.42E-08,3.92E-13,1.86E-13,3.20E-10,2.73E-14,1.18E-08,1.31E-08,2.41E-10,4.45E-09,3.04E-12,2.55E-11,0,3.97E-13,1.61E-09,1.07E-09,1.47E-12,0,8.70E-09,0,2
93,0.111,0.0725,0.604,0.943,0.702,0.203,0.362,0.614,0.0441,0.00887,0.334,0.627,0.305,0.811,0.664,0.559,0.679,0.163,0.762,0.149,1.69E-14,7.33E-11,7.85E-14,6.98E-14,4.59E-11,2.05E-15,6.29E-11,4.74E-11,2.72E-13,1.65E-11,1.11E-14,1.25E-14,0,1.79E-13,3.38E-10,3.14E-11,3.03E-14,0,5.07E-11,0,2
94,0.722,0.0349,0.191,0.899,0.508,0.939,0.4,0,0.39,0.0649,0.904,0.177,0.323,0.329,0.573,0.616,0.242,0.494,0.588,0.694,1.10E-14,3.69E-11,3.18E-14,2.03E-13,7.56E-12,1.25E-16,3.19E-11,3.98E-11,1.46E-11,1.36E-11,1.76E-15,1.62E-12,4.40E-17,2.95E-14,1.13E-11,4.03E-13,7.40E-15,0,2.44E-12,0,0
95,0.0867,0.657,0.733,0.391,0.913,0.784,0.662,0.944,0.924,0.278,0.865,0.81,0.652,0.206,0.0354,0.708,0.495,0.426,0.183,0.048,4.82E-12,1.17E-08,3.30E-13,5.08E-11,2.71E-11,5.75E-14,9.82E-09,1.92E-08,4.92E-11,6.54E-09,1.62E-13,5.47E-12,5.01E-14,1.54E-12,2.23E-09,5.46E-11,2.65E-12,0,2.26E-10,0,0
96,0.226,0.439,0.771,0.122,0.446,0.561,0.799,0,0.425,0.0946,0.658,0.312,0.171,0.304,0.787,0.188,0.0601,0.374,0.724,0.12,1.78E-14,9.16E-12,1.62E-12,5.45E-14,2.36E-14,2.68E-16,7.99E-12,3.47E-11,2.72E-14,1.18E-11,8.01E-13,2.47E-15,2.40E-15,2.42E-10,4.05E-12,1.54E-12,1.11E-14,0,5.38E-13,1.49E-14,2
97,0.0616,0.519,0.315,0.626,0.651,0.646,0.452,0.152,0.953,0.484,0.0245,0.486,0.143,0.196,0.37,0.27,0.506,0.506,0.202,0.0558,8.48E-11,2.97E-07,3.04E-11,1.81E-09,5.69E-11,8.05E-13,2.50E-07,3.12E-07,8.14E-13,1.06E-07,8.84E-12,2.77E-13,7.78E-13,2.54E-10,3.69E-08,1.37E-09,5.16E-11,0,5.47E-09,0,2
98,0.257,0.913,0.92,0.264,0.236,0.858,0.627,0.0256,0.297,0.366,0.446,0.871,0.777,0.821,0.585,0.424,0.671,0.838,0.929,0.394,1.02E-13,9.29E-11,2.26E-09,7.69E-14,1.31E-12,2.06E-15,1.12E-10,4.79E-11,7.62E-14,1.51E-11,2.64E-09,4.56E-15,1.36E-15,2.02E-12,1.01E-11,1.44E-12,5.33E-14,0,1.59E-12,4.17E-11,3
99,0.0694,0.723,0.0259,0.233,0.12,0.374,0.879,0.0972,0.303,0.638,0.838,0.62,0.466,0.45,0.0452,0.116,0.955,0.493,0.265,0.0878,4.26E-15,2.02E-12,1.63E-13,1.72E-15,1.27E-10,2.51E-13,1.73E-12,1.27E-13,2.06E-14,1.28E-14,2.25E-13,7.24E-15,0,2.11E-14,1.76E-11,4.23E-13,2.90E-16,0,6.77E-13,2.38E-15,1
100,0.762,0.201,0.141,0.39,0.577,0.441,0.236,0.78,0.43,0.523,0.158,0.103,0.0671,0.955,0.47,0.274,0.575,0.529,0.722,0.908,3.86E-11,6.82E-06,1.40E-12,4.08E-11,1.28E-07,1.38E-12,4.37E-06,2.24E-09,7.61E-12,8.26E-08,2.87E-10,4.78E-13,5.54E-09,2.35E-12,2.46E-10,9.56E-13,6.68E-08,0,5.23E-14,2.72E-12,1
101,0.228,0.646,0.808,0.825,0.576,0.335,0.142,0.103,0.294,0.206,0.952,0.496,0.341,0.175,0.451,0.751,0.804,0.213,0,0.94,1.37E-12,6.29E-07,1.06E-11,6.93E-12,1.77E-06,1.08E-11,1.38E-07,3.05E-11,2.17E-13,8.06E-10,6.18E-12,1.32E-14,2.63E-13,6.21E-12,8.32E-12,6.93E-14,3.26E-12,0,0,0,0
102,0.5,0.222,0.531,0.213,0.189,0.731,0,0.452,0.805,0.904,0.248,0.71,0.861,0.874,0.36,0.515,0.961,0.738,0.916,0.938,1.27E-10,5.54E-07,7.53E-12,4.68E-12,1.20E-06,7.63E-12,1.02E-07,2.08E-11,7.06E-11,5.45E-10,8.92E-12,5.28E-12,1.80E-13,4.34E-12,1.22E-11,4.52E-13,2.37E-12,0,4.42E-13,0,3
103,0.751,0.527,0.832,0.265,0.0579,0.394,0.609,0.464,0.692,0,0.487,0.419,0.336,0.896,0.0561,0.815,0.945,0.972,0.665,0.166,1.79E-11,0.006381806,1.31E-10,8.77E-11,1.55E-05,1.31E-10,0.000400488,3.89E-10,1.24E-11,1.76E-08,7.81E-11,9.20E-13,2.28E-10,7.99E-11,5.54E-10,1.39E-12,3.41E-08,1.72E-12,0,1.70E-11,1
104,0.767,0.0557,0.367,0.143,0.852,0.228,0.741,0.191,0.822,0.00011,0.489,0.38,0.184,0.18,0.863,0.972,0.428,0.889,0.523,0.699,4.84E-15,7.29E-05,6.69E-14,3.60E-14,1.25E-08,6.74E-14,3.22E-06,8.21E-14,1.92E-14,5.00E-12,2.61E-14,1.15E-13,3.85E-14,4.29E-14,1.06E-12,0,1.37E-11,1.29E-15,0,7.14E-15,0
105,0.566,0.786,0.211,0.293,0.936,0.245,0.711,0.966,0.939,0.88,0.518,8.06E-06,0.166,0.557,0.884,0.0299,0.316,0.821,0.472,0.917,8.24E-15,2.20E-05,5.29E-14,3.08E-14,3.44E-08,5.45E-14,1.30E-05,8.10E-13,8.76E-14,5.95E-11,4.06E-14,1.43E-15,3.63E-13,3.78E-14,2.51E-13,0,1.19E-11,2.32E-15,0,1.29E-14,0
106,0.542,0.849,0.42,0.136,0.65,0.355,0.616,0.752,0.0225,0.448,0.451,0.741,0.738,0.105,0.583,0.72,0.64,0.425,0.0414,0.663,2.09E-13,0.001793176,4.79E-12,5.95E-12,7.47E-08,4.73E-12,0.000454908,0,3.01E-13,0,5.92E-14,9.36E-14,0,1.67E-12,0,0,0,2.46E-16,0,0,3
107,0.504,0.0787,0.51,0.893,0.523,0.0932,0.805,0.564,0.303,0.425,0.968,0.424,0.768,0.143,0.929,0.731,0.0872,0.207,0.887,0.279,6.35E-12,4.32E-06,5.73E-13,3.99E-13,1.03E-06,5.92E-13,4.60E-07,1.98E-12,5.17E-14,6.68E-10,4.65E-13,1.82E-14,2.08E-12,4.01E-13,1.04E-12,2.00E-13,2.55E-10,3.83E-14,0,3.07E-11,0
108,0.416,0.871,0.532,0.232,0.49,0.326,0.805,0.896,0.472,0.942,8.97E-05,0.932,0.25,0.943,0.728,0.893,0.593,0.572,0.151,0.144,7.76E-14,3.66E-07,1.61E-13,1.94E-13,6.14E-08,3.00E-13,5.44E-07,7.05E-13,1.55E-13,2.32E-10,1.02E-13,1.22E-13,5.64E-12,5.28E-13,1.71E-13,3.01E-15,4.04E-10,2.63E-13,7.94E-14,1.85E-13,3
109,0.69,0.0507,0,0.526,0.422,0.872,0.814,0.52,0.181,0.903,0.313,0.381,0.727,0.702,0.396,0.615,0.87,0.046,0.231,0.458,9.88E-12,7.58E-09,1.14E-11,4.20E-11,1.07E-05,7.06E-11,5.49E-09,1.34E-11,1.03E-11,5.60E-10,5.63E-09,6.09E-12,1.05E-13,3.99E-12,7.31E-07,4.15E-08,7.46E-11,0,3.10E-11,0,1
110,0.0787,0.000144,0.134,0.335,0.211,0.499,0.00688,0.854,0.736,0.313,0.361,0.535,0.84,0.876,0.268,0.48,0.447,0.449,0.203,0.362,8.85E-13,3.91E-11,1.92E-12,3.06E-12,3.16E-09,1.92E-14,7.97E-11,6.36E-12,5.79E-15,6.83E-12,4.21E-12,1.24E-12,1.12E-13,1.31E-10,9.91E-13,1.46E-12,2.77E-11,2.30E-12,4.20E-10,3.14E-11,3
111,0.266,0.726,0.43,0.246,0.585,0,0.616,0.957,0.255,0.375,0.0877,0.849,0.513,0.463,0.163,0.0544,0.733,0.307,0.283,0.251,1.61E-10,6.97E-06,4.01E-12,4.57E-11,0.000800825,5.65E-12,1.63E-05,9.27E-09,1.02E-10,2.09E-06,1.13E-10,9.03E-13,4.44E-09,3.61E-12,3.27E-11,2.91E-12,2.46E-08,6.93E-13,0,2.82E-10,3
112,0.568,0.446,0.684,0.17,0.771,0.905,0.652,0.875,0.183,0.8,0.752,0.904,0.834,0.737,0.447,0.744,0.583,0.424,0.166,0.851,8.76E-11,0.000200227,3.85E-10,2.70E-10,0.001707387,3.84E-10,0.000453615,1.43E-09,1.84E-11,3.16E-06,2.74E-10,1.01E-12,1.51E-09,2.28E-10,1.14E-09,5.52E-11,7.01E-08,1.62E-12,1.68E-10,0,1
113,0.187,0.933,0.348,0.653,0.713,0.343,0.503,0.563,0.145,0.479,0.266,0.336,0.898,0.549,0.416,0.721,0.228,0.0734,0.949,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
114,0.48,0.648,0.935,0.659,0.823,0.413,0.816,0.64,0.4,0.0286,0.771,0.0914,0.000191,0.725,0.585,0.162,0.43,0.177,0.951,0.486,3.15E-13,8.97E-10,1.89E-13,8.53E-14,9.21E-11,9.76E-14,2.14E-09,3.61E-14,0,2.27E-12,5.23E-14,2.66E-14,7.57E-13,1.79E-15,3.30E-15,1.53E-13,1.40E-11,0,0,2.35E-09,0
115,0.827,0.0646,0.88,0.305,0.457,0.0163,0.481,0.313,0.0954,0.416,0.13,0.577,0.66,0.717,0.369,0.942,0.706,0.758,0.938,0.0855,9.34E-13,5.83E-07,5.75E-12,3.82E-12,2.57E-05,5.86E-12,4.55E-07,2.25E-11,7.35E-13,1.01E-08,1.32E-11,2.24E-14,5.87E-12,3.40E-12,1.09E-09,6.81E-11,3.96E-10,2.24E-14,1.04E-13,0,2
116,0.522,0.772,0.113,0.055,0.771,0.484,0.51,0.412,0.212,0.96,0.219,0.179,0.287,0.0433,0.0748,0.862,0.963,0.462,0.157,0.063,9.78E-14,5.45E-10,1.44E-14,4.64E-15,8.32E-08,7.72E-15,3.35E-10,1.95E-14,5.76E-13,1.12E-11,4.79E-13,2.40E-15,6.21E-15,1.33E-12,9.51E-12,5.95E-13,2.40E-13,0,1.09E-15,6.55E-15,3
117,0.101,0.811,0.143,0.486,0.482,0.806,0.702,0.452,0.205,0.284,0.626,0.925,0.153,0.523,0.643,0.618,0.844,0.0353,0.907,0.456,1.49E-13,1.39E-09,1.76E-14,6.05E-14,4.61E-07,1.71E-14,1.07E-09,5.61E-14,1.76E-15,3.42E-11,1.72E-11,2.25E-15,4.21E-14,1.94E-13,6.48E-11,4.04E-12,4.81E-13,2.55E-15,6.00E-13,1.07E-13,0
118,0.958,0.773,0.463,0.263,0.929,0.881,0.153,0.809,0.0633,0.35,0.494,0.653,0.787,0.858,0.0142,0.0498,0.832,0.968,0.288,0.911,3.24E-14,8.14E-10,8.48E-15,1.10E-12,2.49E-07,8.86E-15,1.92E-09,2.88E-13,1.39E-15,1.91E-11,3.22E-10,3.39E-16,3.55E-13,3.17E-14,3.37E-11,2.07E-12,4.56E-11,0,2.63E-14,2.17E-14,1
119,0.723,0.0244,0.874,0.946,0.545,0.324,0.894,0.637,0.107,0.959,0.772,0.922,0.732,0.165,0.417,0.0416,0.509,0.729,0.365,0.104,7.69E-12,2.81E-05,1.02E-12,1.29E-09,1.78E-05,9.16E-13,7.04E-05,4.52E-11,1.68E-12,9.96E-09,2.41E-08,6.08E-14,2.07E-10,1.29E-11,2.78E-09,1.73E-10,6.41E-09,0,2.84E-11,1.83E-12,1
120,0.534,0.912,0.824,0.291,0.723,0.454,0.106,0.306,0.0796,0.347,0.86,0.632,0.136,0.646,0.377,0.175,0.666,0.815,0.953,0.526,1.15E-12,1.82E-08,6.30E-14,1.36E-09,4.08E-08,5.17E-14,4.51E-08,1.45E-12,1.14E-13,1.06E-11,3.49E-09,1.92E-14,1.45E-13,3.68E-13,4.65E-10,2.49E-11,2.43E-11,0,2.35E-13,1.93E-14,1
121,0.5,0.828,0.279,0.303,0.694,0.286,0.79,0.756,0.973,0.364,0.203,0.804,0.176,0.591,0.611,0.942,0.625,0.626,0.254,0.393,2.19E-14,4.80E-10,3.50E-15,1.43E-10,6.55E-10,2.00E-15,1.20E-09,1.07E-13,2.68E-15,3.36E-13,2.94E-10,4.08E-16,4.27E-15,2.57E-14,1.45E-11,8.92E-13,1.87E-12,0,0,3.97E-15,0
122,0.356,0.888,0.755,0.436,0.951,0.596,0.938,0.349,0.242,0.592,0.742,0.87,0,0.953,0.749,0.171,0.147,0.904,0.00686,0.117,4.19E-12,5.91E-06,2.72E-13,8.14E-06,1.04E-08,3.72E-14,1.25E-05,4.48E-10,3.45E-13,7.40E-09,4.21E-09,6.25E-14,5.98E-11,2.16E-12,5.76E-10,2.66E-11,8.59E-08,0,1.75E-11,6.10E-14,1
123,0.485,0.273,0.808,0.893,0.614,0.543,0.908,0.511,0.495,0.478,0.000259,0.596,0.472,0.313,0.783,0.489,0.778,0.919,0.245,0.142,9.79E-13,4.45E-10,2.74E-13,9.85E-11,2.80E-09,2.50E-14,1.03E-09,1.95E-10,4.06E-12,7.03E-11,3.04E-09,4.36E-14,4.43E-14,2.76E-13,1.39E-10,6.92E-12,3.60E-11,0,6.89E-13,1.93E-12,2
124,0.623,0.16,0.791,0.55,0.715,0.776,0.387,0.48,0.535,0.00223,0.383,0.0858,0.737,0.433,0.682,0.699,0.0144,0.954,0.321,0.108,4.90E-11,3.88E-11,1.20E-13,2.60E-11,3.63E-09,5.84E-11,6.21E-11,4.41E-12,5.18E-12,3.05E-13,1.40E-11,1.69E-12,7.41E-16,7.77E-13,6.35E-11,3.19E-12,5.89E-13,0,5.91E-15,3.42E-14,2
125,0.0326,0.198,0.238,0.681,0.807,0.812,0.0861,0.953,0.347,0.33,0.199,0.418,0.724,0.892,0.669,0.293,0.000188,0.474,0.138,0.612,1.35E-12,1.80E-10,6.18E-14,2.90E-11,1.15E-07,6.70E-13,1.25E-10,8.89E-14,1.82E-13,6.40E-12,1.05E-10,5.56E-14,2.73E-15,1.11E-14,5.53E-08,3.81E-10,1.69E-12,0,2.08E-12,0,3
